content_id,author_id,scene,title
900001,10001,ARTICLE,bench_article_900001
900002,10002,ARTICLE,bench_article_900002
900003,10003,ARTICLE,bench_article_900003
900004,10004,ARTICLE,bench_article_900004
900005,10005,ARTICLE,bench_article_900005
900006,10006,ARTICLE,bench_article_900006
900007,10007,ARTICLE,bench_article_900007
900008,10008,ARTICLE,bench_article_900008
900009,10009,ARTICLE,bench_article_900009
900010,10010,VIDEO,bench_video_900010
900011,10011,ARTICLE,bench_article_900011
900012,10012,ARTICLE,bench_article_900012
900013,10013,ARTICLE,bench_article_900013
900014,10014,ARTICLE,bench_article_900014
900015,10015,ARTICLE,bench_article_900015
900016,10016,ARTICLE,bench_article_900016
900017,10017,ARTICLE,bench_article_900017
900018,10018,ARTICLE,bench_article_900018
900019,10019,ARTICLE,bench_article_900019
900020,10020,VIDEO,bench_video_900020
900021,10021,ARTICLE,bench_article_900021
900022,10022,ARTICLE,bench_article_900022
900023,10023,ARTICLE,bench_article_900023
900024,10024,ARTICLE,bench_article_900024
900025,10025,ARTICLE,bench_article_900025
900026,10026,ARTICLE,bench_article_900026
900027,10027,ARTICLE,bench_article_900027
900028,10028,ARTICLE,bench_article_900028
900029,10029,ARTICLE,bench_article_900029
900030,10030,VIDEO,bench_video_900030
900031,10031,ARTICLE,bench_article_900031
900032,10032,ARTICLE,bench_article_900032
900033,10033,ARTICLE,bench_article_900033
900034,10034,ARTICLE,bench_article_900034
900035,10035,ARTICLE,bench_article_900035
900036,10036,ARTICLE,bench_article_900036
900037,10037,ARTICLE,bench_article_900037
900038,10038,ARTICLE,bench_article_900038
900039,10039,ARTICLE,bench_article_900039
900040,10040,VIDEO,bench_video_900040
900041,10041,ARTICLE,bench_article_900041
900042,10042,ARTICLE,bench_article_900042
900043,10043,ARTICLE,bench_article_900043
900044,10044,ARTICLE,bench_article_900044
900045,10045,ARTICLE,bench_article_900045
900046,10046,ARTICLE,bench_article_900046
900047,10047,ARTICLE,bench_article_900047
900048,10048,ARTICLE,bench_article_900048
900049,10049,ARTICLE,bench_article_900049
900050,10050,VIDEO,bench_video_900050
900051,10051,ARTICLE,bench_article_900051
900052,10052,ARTICLE,bench_article_900052
900053,10053,ARTICLE,bench_article_900053
900054,10054,ARTICLE,bench_article_900054
900055,10055,ARTICLE,bench_article_900055
900056,10056,ARTICLE,bench_article_900056
900057,10057,ARTICLE,bench_article_900057
900058,10058,ARTICLE,bench_article_900058
900059,10059,ARTICLE,bench_article_900059
900060,10060,VIDEO,bench_video_900060
900061,10061,ARTICLE,bench_article_900061
900062,10062,ARTICLE,bench_article_900062
900063,10063,ARTICLE,bench_article_900063
900064,10064,ARTICLE,bench_article_900064
900065,10065,ARTICLE,bench_article_900065
900066,10066,ARTICLE,bench_article_900066
900067,10067,ARTICLE,bench_article_900067
900068,10068,ARTICLE,bench_article_900068
900069,10069,ARTICLE,bench_article_900069
900070,10070,VIDEO,bench_video_900070
900071,10071,ARTICLE,bench_article_900071
900072,10072,ARTICLE,bench_article_900072
900073,10073,ARTICLE,bench_article_900073
900074,10074,ARTICLE,bench_article_900074
900075,10075,ARTICLE,bench_article_900075
900076,10076,ARTICLE,bench_article_900076
900077,10077,ARTICLE,bench_article_900077
900078,10078,ARTICLE,bench_article_900078
900079,10079,ARTICLE,bench_article_900079
900080,10080,VIDEO,bench_video_900080
900081,10081,ARTICLE,bench_article_900081
900082,10082,ARTICLE,bench_article_900082
900083,10083,ARTICLE,bench_article_900083
900084,10084,ARTICLE,bench_article_900084
900085,10085,ARTICLE,bench_article_900085
900086,10086,ARTICLE,bench_article_900086
900087,10087,ARTICLE,bench_article_900087
900088,10088,ARTICLE,bench_article_900088
900089,10089,ARTICLE,bench_article_900089
900090,10090,VIDEO,bench_video_900090
900091,10091,ARTICLE,bench_article_900091
900092,10092,ARTICLE,bench_article_900092
900093,10093,ARTICLE,bench_article_900093
